question,answer,is_active,sort_order
"Apa itu Wacana Style?","Komunitas motor yang menjadi wadah buat para rider untuk berkumpul, riding, touring, kopdar, berbagi pengalaman, menambah relasi, dan membangun solidaritas serta rasa kekeluargaan.",1,1
"Apakah semua jenis motor boleh bergabung?","Boleh! Wacana Style terbuka untuk semua rider tanpa melihat merek, tipe, cc, maupun gaya motor.",1,2
"Apakah harus punya motor tertentu untuk bergabung?","Tidak, Wacana Style tidak membatasi anggota berdasarkan merek atau tipe motor tertentu.",1,3
"Bagaimana cara bergabung dengan Wacana Style?","Caranya dengan mengisi formulir pendaftaran melalui website resmi di https://wacanastyle.blogspot.com/#gabung.",1,4
"Apakah ada biaya untuk bergabung?","Untuk informasi mengenai biaya pendaftaran, iuran, atau administrasi lainnya, silakan konfirmasi langsung kepada admin.",1,5
"Bisakah bergabung jika tinggal di luar wilayah jangkauan?","Bisa ditanyakan kepada pengurus mengenai kemungkinan bergabung atau informasi wilayah terdekat.",1,6
"Wilayah mana saja yang dicakup Wacana Style?","Saat ini meliputi 6 wilayah: Brebes, Kabupaten Tegal, Tegal Kota, Slawi, Pemalang Kota, dan Pemalang Kidul/Desa.",1,7
"Siapa admin wilayah Kabupaten Tegal?","Admin untuk wilayah Kabupaten Tegal adalah Dafa.",1,8
"Siapa admin wilayah Tegal Kota?","Admin untuk wilayah Tegal Kota adalah Putra.",1,9
"Siapa admin wilayah Brebes?","Admin untuk wilayah Brebes adalah Rido.",1,10
"Siapa admin wilayah Pemalang Kota?","Admin untuk wilayah Pemalang Kota adalah Arinta.",1,11
"Siapa admin wilayah Pemalang Kidul?","Admin untuk wilayah Pemalang Kidul adalah Arinta.",1,12
"Siapa admin wilayah Slawi?","Admin untuk wilayah Slawi adalah Dafa.",1,13
"Bagaimana jika pertanyaan tidak ada di FAQ?","Jika butuh informasi spesifik, Anda bisa langsung menghubungi admin wilayah masing-masing.",1,14
"Apa saja kegiatan rutin Wacana Style?","Meliputi riding, touring, kopdar, gathering, night ride, kegiatan sosial/charity, dan camping.",1,15
"Apakah Wacana Style sering mengadakan touring?","Ya, touring adalah salah satu agenda resmi yang jadwal dan rutenya ditentukan oleh pengurus.",1,16
"Apakah ada kegiatan kopdar?","Ada, kopdar rutin dilakukan untuk mempererat hubungan antaranggota.",1,17
"Apakah Wacana Style mengadakan kegiatan sosial?","Ya, terdapat agenda bakti sosial atau charity untuk berbagi dengan masyarakat.",1,18
"Apa saja aturan utama di Wacana Style?","Menghargai sesama, menjaga nama baik tim, solidaritas, safety first, etika riding, dan menghindari drama.",1,19
"Bolehkah bercanda dan saling roasting?","Boleh, asalkan tetap tahu batas dan tidak berubah menjadi penghinaan atau konflik.",1,20
"Apakah diwajibkan menggunakan atribut tertentu?","Atribut resmi harus mengikuti instruksi pengurus; dilarang membuat sendiri tanpa konfirmasi.",1,21
"Apakah ada jaket resmi Wacana Style?","Ya, terdapat agenda Planning Jaket Wacana dengan desain seragam dan warna wajib hitam.",1,22
"Bolehkah ikut kegiatan jika masih calon anggota?","Disarankan untuk konfirmasi langsung kepada admin sebelum mengikuti kegiatan.",1,23
"Apakah Wacana Style hanya untuk rider berpengalaman?","Tidak, terbuka untuk semua rider asalkan mau belajar dan menjaga keselamatan.",1,24
"Apakah perempuan boleh bergabung?","Tentu saja, Wacana Style terbuka bagi rider tanpa membedakan gender.",1,25
